Area,Pincode,Date,Actual_Waste_kg
Indiranagar,560014,2025-02-21,24641
Indiranagar,560014,2025-02-22,19937
Indiranagar,560014,2025-02-23,22701
Indiranagar,560014,2025-02-24,25261
Indiranagar,560014,2025-02-25,24618
Indiranagar,560014,2025-02-26,22838
Indiranagar,560014,2025-02-27,20267
Indiranagar,560014,2025-02-28,20607
Indiranagar,560014,2025-03-01,23069
Indiranagar,560014,2025-03-02,22261
Indiranagar,560014,2025-03-03,20499
Indiranagar,560014,2025-03-04,19988
Indiranagar,560014,2025-03-05,23578
Indiranagar,560014,2025-03-06,22553
Indiranagar,560014,2025-03-07,23483
Indiranagar,560014,2025-03-08,19952
Indiranagar,560014,2025-03-09,20380
Indiranagar,560014,2025-03-10,25232
Indiranagar,560014,2025-03-11,20754
Indiranagar,560014,2025-03-12,20704
Indiranagar,560014,2025-03-13,20906
Indiranagar,560014,2025-03-14,24439
Indiranagar,560014,2025-03-15,21429
Indiranagar,560014,2025-03-16,21559
Indiranagar,560014,2025-03-17,24418
Indiranagar,560014,2025-03-18,25215
Indiranagar,560014,2025-03-19,22630
Indiranagar,560014,2025-03-20,21074
Indiranagar,560014,2025-03-21,21030
Indiranagar,560014,2025-03-22,24527
Indiranagar,560014,2025-03-23,23589
Indiranagar,560014,2025-03-24,19830
Indiranagar,560014,2025-03-25,22334
Indiranagar,560014,2025-03-26,20720
Indiranagar,560014,2025-03-27,21828
Indiranagar,560014,2025-03-28,22368
Indiranagar,560014,2025-03-29,22250
Indiranagar,560014,2025-03-30,22318
Indiranagar,560014,2025-03-31,25094
Indiranagar,560014,2025-04-01,22976
Indiranagar,560014,2025-04-02,25478
Indiranagar,560014,2025-04-03,22360
Indiranagar,560014,2025-04-04,22260
Indiranagar,560014,2025-04-05,23117
Indiranagar,560014,2025-04-06,20618
Indiranagar,560014,2025-04-07,23563
Indiranagar,560014,2025-04-08,20691
Indiranagar,560014,2025-04-09,25643
Indiranagar,560014,2025-04-10,21636
Indiranagar,560014,2025-04-11,24650
Indiranagar,560014,2025-04-12,21721
Indiranagar,560014,2025-04-13,22508
Indiranagar,560014,2025-04-14,25302
Indiranagar,560014,2025-04-15,20603
Indiranagar,560014,2025-04-16,24044
Indiranagar,560014,2025-04-17,23974
Indiranagar,560014,2025-04-18,21064
Indiranagar,560014,2025-04-19,20244
Indiranagar,560014,2025-04-20,21407
Indiranagar,560014,2025-04-21,21842
Indiranagar,560014,2025-04-22,24212
Indiranagar,560014,2025-04-23,21660
Indiranagar,560014,2025-04-24,21169
Indiranagar,560014,2025-04-25,24314
Indiranagar,560014,2025-04-26,20864
Indiranagar,560014,2025-04-27,21731
Indiranagar,560014,2025-04-28,24054
Indiranagar,560014,2025-04-29,23617
Indiranagar,560014,2025-04-30,24316
Indiranagar,560014,2025-05-01,20540
Indiranagar,560014,2025-05-02,25541
Indiranagar,560014,2025-05-03,24260
Indiranagar,560014,2025-05-04,22442
Indiranagar,560014,2025-05-05,20516
Indiranagar,560014,2025-05-06,19892
Indiranagar,560014,2025-05-07,21957
Indiranagar,560014,2025-05-08,25331
Indiranagar,560014,2025-05-09,24660
Indiranagar,560014,2025-05-10,23124
Indiranagar,560014,2025-05-11,22298
Indiranagar,560014,2025-05-12,25531
Indiranagar,560014,2025-05-13,21830
Indiranagar,560014,2025-05-14,24338
Indiranagar,560014,2025-05-15,19864
Indiranagar,560014,2025-05-16,20883
Indiranagar,560014,2025-05-17,24352
Indiranagar,560014,2025-05-18,23242
Indiranagar,560014,2025-05-19,23181
Indiranagar,560014,2025-05-20,25226
Indiranagar,560014,2025-05-21,24752
Indiranagar,560014,2025-05-22,23242
Indiranagar,560014,2025-05-23,24465
Indiranagar,560014,2025-05-24,24002
Indiranagar,560014,2025-05-25,25082
Indiranagar,560014,2025-05-26,21054
Indiranagar,560014,2025-05-27,25014
Indiranagar,560014,2025-05-28,25514
Indiranagar,560014,2025-05-29,20358
Indiranagar,560014,2025-05-30,22713
Indiranagar,560014,2025-05-31,22115
Indiranagar,560014,2025-06-01,22770
Indiranagar,560014,2025-06-02,22492
Indiranagar,560014,2025-06-03,23697
Indiranagar,560014,2025-06-04,24037
Indiranagar,560014,2025-06-05,25620
Indiranagar,560014,2025-06-06,21562
Indiranagar,560014,2025-06-07,20118
Indiranagar,560014,2025-06-08,20449
Indiranagar,560014,2025-06-09,20107
Indiranagar,560014,2025-06-10,22916
Indiranagar,560014,2025-06-11,19738
Indiranagar,560014,2025-06-12,24811
Indiranagar,560014,2025-06-13,24789
Indiranagar,560014,2025-06-14,23694
Indiranagar,560014,2025-06-15,22957
Indiranagar,560014,2025-06-16,25019
Indiranagar,560014,2025-06-17,25202
Indiranagar,560014,2025-06-18,22788
Indiranagar,560014,2025-06-19,21491
Indiranagar,560014,2025-06-20,24911
Indiranagar,560014,2025-06-21,24439
Indiranagar,560014,2025-06-22,23630
Indiranagar,560014,2025-06-23,24694
Indiranagar,560014,2025-06-24,24081
Indiranagar,560014,2025-06-25,25577
Indiranagar,560014,2025-06-26,23282
Indiranagar,560014,2025-06-27,23664
Indiranagar,560014,2025-06-28,20565
Indiranagar,560014,2025-06-29,21437
Indiranagar,560014,2025-06-30,23634
Indiranagar,560014,2025-07-01,22707
Indiranagar,560014,2025-07-02,20266
Indiranagar,560014,2025-07-03,23549
Indiranagar,560014,2025-07-04,24500
Indiranagar,560014,2025-07-05,23508
Indiranagar,560014,2025-07-06,23531
Indiranagar,560014,2025-07-07,23730
Indiranagar,560014,2025-07-08,19701
Indiranagar,560014,2025-07-09,22781
Indiranagar,560014,2025-07-10,23260
Indiranagar,560014,2025-07-11,20772
Indiranagar,560014,2025-07-12,23182
Indiranagar,560014,2025-07-13,19906
Indiranagar,560014,2025-07-14,25234
Indiranagar,560014,2025-07-15,23705
Indiranagar,560014,2025-07-16,25135
Indiranagar,560014,2025-07-17,20916
Indiranagar,560014,2025-07-18,23492
Indiranagar,560014,2025-07-19,21142
Indiranagar,560014,2025-07-20,23867
Indiranagar,560014,2025-07-21,20305
Indiranagar,560014,2025-07-22,19871
Indiranagar,560014,2025-07-23,25497
Indiranagar,560014,2025-07-24,25461
Indiranagar,560014,2025-07-25,24285
Indiranagar,560014,2025-07-26,24359
Indiranagar,560014,2025-07-27,24817
Indiranagar,560014,2025-07-28,24542
Indiranagar,560014,2025-07-29,22216
Indiranagar,560014,2025-07-30,20734
Indiranagar,560014,2025-07-31,22392
Indiranagar,560014,2025-08-01,21200
Indiranagar,560014,2025-08-02,21427
Indiranagar,560014,2025-08-03,20565
Indiranagar,560014,2025-08-04,20099
Indiranagar,560014,2025-08-05,24258
Indiranagar,560014,2025-08-06,25286
Indiranagar,560014,2025-08-07,20476
Indiranagar,560014,2025-08-08,25523
Indiranagar,560014,2025-08-09,20602
Indiranagar,560014,2025-08-10,22446
Indiranagar,560014,2025-08-11,23746
Indiranagar,560014,2025-08-12,25499
Indiranagar,560014,2025-08-13,22243
Indiranagar,560014,2025-08-14,20649
Indiranagar,560014,2025-08-15,20741
Indiranagar,560014,2025-08-16,24767
Indiranagar,560014,2025-08-17,23368
Indiranagar,560014,2025-08-18,19720
Indiranagar,560014,2025-08-19,20006
Indiranagar,560014,2025-08-20,23786
Indiranagar,560014,2025-08-21,20197
Indiranagar,560014,2025-08-22,20410
Indiranagar,560014,2025-08-23,22047
Indiranagar,560014,2025-08-24,22002
Indiranagar,560014,2025-08-25,21643
Indiranagar,560014,2025-08-26,21197
Indiranagar,560014,2025-08-27,21978
Indiranagar,560014,2025-08-28,19937
Indiranagar,560014,2025-08-29,24188
Indiranagar,560014,2025-08-30,21201
Indiranagar,560014,2025-08-31,20673
Indiranagar,560014,2025-09-01,23213
Indiranagar,560014,2025-09-02,24728
Indiranagar,560014,2025-09-03,25113
Indiranagar,560014,2025-09-04,25175
Indiranagar,560014,2025-09-05,20167
Indiranagar,560014,2025-09-06,19729
Indiranagar,560014,2025-09-07,21444
Indiranagar,560014,2025-09-08,19730
Indiranagar,560014,2025-09-09,23695
Indiranagar,560014,2025-09-10,21721
Indiranagar,560014,2025-09-11,19844
Indiranagar,560014,2025-09-12,20686
Indiranagar,560014,2025-09-13,24257
Indiranagar,560014,2025-09-14,21976
Indiranagar,560014,2025-09-15,22793
Indiranagar,560014,2025-09-16,25069
Indiranagar,560014,2025-09-17,19884
Indiranagar,560014,2025-09-18,25602
Indiranagar,560014,2025-09-19,22683
Indiranagar,560014,2025-09-20,21145
Indiranagar,560014,2025-09-21,25042
Indiranagar,560014,2025-09-22,22077
Indiranagar,560014,2025-09-23,24943
Indiranagar,560014,2025-09-24,20432
Indiranagar,560014,2025-09-25,25610
Indiranagar,560014,2025-09-26,21257
Indiranagar,560014,2025-09-27,22016
Indiranagar,560014,2025-09-28,19882
Indiranagar,560014,2025-09-29,23341
Indiranagar,560014,2025-09-30,25045
Indiranagar,560014,2025-10-01,20005
Indiranagar,560014,2025-10-02,22144
Indiranagar,560014,2025-10-03,20535
Indiranagar,560014,2025-10-04,21439
Indiranagar,560014,2025-10-05,24774
Indiranagar,560014,2025-10-06,25106
Indiranagar,560014,2025-10-07,25519
Indiranagar,560014,2025-10-08,24528
Indiranagar,560014,2025-10-09,25460
Indiranagar,560014,2025-10-10,25365
Indiranagar,560014,2025-10-11,23195
Indiranagar,560014,2025-10-12,23047
Indiranagar,560014,2025-10-13,21635
Indiranagar,560014,2025-10-14,23949
Indiranagar,560014,2025-10-15,23820
Indiranagar,560014,2025-10-16,22589
Indiranagar,560014,2025-10-17,21034
Indiranagar,560014,2025-10-18,21797
Indiranagar,560014,2025-10-19,23058
Indiranagar,560014,2025-10-20,25139
Indiranagar,560014,2025-10-21,23616
Indiranagar,560014,2025-10-22,21653
Indiranagar,560014,2025-10-23,23688
Indiranagar,560014,2025-10-24,23674
Indiranagar,560014,2025-10-25,23105
Indiranagar,560014,2025-10-26,20169
Indiranagar,560014,2025-10-27,21594
Indiranagar,560014,2025-10-28,20540
Indiranagar,560014,2025-10-29,19992
Indiranagar,560014,2025-10-30,20844
Indiranagar,560014,2025-10-31,20905
Indiranagar,560014,2025-11-01,23920
Indiranagar,560014,2025-11-02,24391
Indiranagar,560014,2025-11-03,21692
Indiranagar,560014,2025-11-04,22635
Indiranagar,560014,2025-11-05,20879
Indiranagar,560014,2025-11-06,25169
Indiranagar,560014,2025-11-07,19812
Indiranagar,560014,2025-11-08,21290
Indiranagar,560014,2025-11-09,24723
Indiranagar,560014,2025-11-10,20338
Indiranagar,560014,2025-11-11,21732
Indiranagar,560014,2025-11-12,23102
Indiranagar,560014,2025-11-13,21466
Indiranagar,560014,2025-11-14,21097
Indiranagar,560014,2025-11-15,24702
Indiranagar,560014,2025-11-16,24537
Indiranagar,560014,2025-11-17,24578
Indiranagar,560014,2025-11-18,22875
Indiranagar,560014,2025-11-19,25056
Indiranagar,560014,2025-11-20,25624
Indiranagar,560014,2025-11-21,23268
Indiranagar,560014,2025-11-22,23017
Indiranagar,560014,2025-11-23,20019
Indiranagar,560014,2025-11-24,23841
Indiranagar,560014,2025-11-25,24068
Indiranagar,560014,2025-11-26,19959
Indiranagar,560014,2025-11-27,22689
Indiranagar,560014,2025-11-28,22666
Indiranagar,560014,2025-11-29,21828
Indiranagar,560014,2025-11-30,22944
Indiranagar,560014,2025-12-01,23034
Indiranagar,560014,2025-12-02,21629
Indiranagar,560014,2025-12-03,19725
Indiranagar,560014,2025-12-04,23161
Indiranagar,560014,2025-12-05,23764
Indiranagar,560014,2025-12-06,25676
Indiranagar,560014,2025-12-07,19962
Indiranagar,560014,2025-12-08,21023
Indiranagar,560014,2025-12-09,25276
Indiranagar,560014,2025-12-10,21549
Indiranagar,560014,2025-12-11,25303
Indiranagar,560014,2025-12-12,24450
Indiranagar,560014,2025-12-13,22747
Indiranagar,560014,2025-12-14,20239
Indiranagar,560014,2025-12-15,19935
Indiranagar,560014,2025-12-16,22738
Indiranagar,560014,2025-12-17,25124
Indiranagar,560014,2025-12-18,22328
Indiranagar,560014,2025-12-19,22977
Indiranagar,560014,2025-12-20,22669
Indiranagar,560014,2025-12-21,24248
Indiranagar,560014,2025-12-22,21027
Indiranagar,560014,2025-12-23,22365
Indiranagar,560014,2025-12-24,22458
Indiranagar,560014,2025-12-25,23788
Indiranagar,560014,2025-12-26,21665
Indiranagar,560014,2025-12-27,20909
Indiranagar,560014,2025-12-28,21556
Indiranagar,560014,2025-12-29,20524
Indiranagar,560014,2025-12-30,20160
Indiranagar,560014,2025-12-31,23829
MG Road,560069,2025-01-01,72384
MG Road,560069,2025-01-02,72631
MG Road,560069,2025-01-03,72485
MG Road,560069,2025-01-04,68564
MG Road,560069,2025-01-05,68942
MG Road,560069,2025-01-06,68634
MG Road,560069,2025-01-07,68591
MG Road,560069,2025-01-08,68861
MG Road,560069,2025-01-09,70662
MG Road,560069,2025-01-10,69734
MG Road,560069,2025-01-11,67513
MG Road,560069,2025-01-12,68691
MG Road,560069,2025-01-13,69794
MG Road,560069,2025-01-14,67464
MG Road,560069,2025-01-15,72034
MG Road,560069,2025-01-16,72611
MG Road,560069,2025-01-17,72135
MG Road,560069,2025-01-18,67248
MG Road,560069,2025-01-19,69315
MG Road,560069,2025-01-20,70242
MG Road,560069,2025-01-21,69363
MG Road,560069,2025-01-22,71615
MG Road,560069,2025-01-23,68874
MG Road,560069,2025-01-24,70714
MG Road,560069,2025-01-25,70240
MG Road,560069,2025-01-26,70352
MG Road,560069,2025-01-27,68306
MG Road,560069,2025-01-28,71198
MG Road,560069,2025-01-29,68417
MG Road,560069,2025-01-30,72448
MG Road,560069,2025-01-31,72066
MG Road,560069,2025-02-01,68432
MG Road,560069,2025-02-02,70990
MG Road,560069,2025-02-03,71037
MG Road,560069,2025-02-04,69766
MG Road,560069,2025-02-05,70506
MG Road,560069,2025-02-06,70973
MG Road,560069,2025-02-07,68904
MG Road,560069,2025-02-08,69041
MG Road,560069,2025-02-09,67963
MG Road,560069,2025-02-10,68594
MG Road,560069,2025-02-11,70292
MG Road,560069,2025-02-12,70748
MG Road,560069,2025-02-13,71249
MG Road,560069,2025-02-14,72516
MG Road,560069,2025-02-15,67935
MG Road,560069,2025-02-16,67789
MG Road,560069,2025-02-17,71100
MG Road,560069,2025-02-18,71027
MG Road,560069,2025-02-19,69528
MG Road,560069,2025-02-20,71836
MG Road,560069,2025-02-21,69560
MG Road,560069,2025-02-22,68774
MG Road,560069,2025-02-23,71710
MG Road,560069,2025-02-24,68066
MG Road,560069,2025-02-25,72716
MG Road,560069,2025-02-26,66930
MG Road,560069,2025-02-27,68894
MG Road,560069,2025-02-28,68849
MG Road,560069,2025-03-01,66775
MG Road,560069,2025-03-02,68891
MG Road,560069,2025-03-03,69042
MG Road,560069,2025-03-04,70116
MG Road,560069,2025-03-05,72394
MG Road,560069,2025-03-06,70258
MG Road,560069,2025-03-07,70297
MG Road,560069,2025-03-08,71721
MG Road,560069,2025-03-09,68350
MG Road,560069,2025-03-10,67198
MG Road,560069,2025-03-11,70846
MG Road,560069,2025-03-12,68444
MG Road,560069,2025-03-13,70822
MG Road,560069,2025-03-14,72122
MG Road,560069,2025-03-15,69978
MG Road,560069,2025-03-16,69312
MG Road,560069,2025-03-17,68879
MG Road,560069,2025-03-18,69279
MG Road,560069,2025-03-19,71336
MG Road,560069,2025-03-20,72723
MG Road,560069,2025-03-21,67791
MG Road,560069,2025-03-22,68047
MG Road,560069,2025-03-23,69967
MG Road,560069,2025-03-24,67388
MG Road,560069,2025-03-25,67492
MG Road,560069,2025-03-26,71050
MG Road,560069,2025-03-27,71695
MG Road,560069,2025-03-28,69152
MG Road,560069,2025-03-29,68348
MG Road,560069,2025-03-30,70025
MG Road,560069,2025-03-31,72339
MG Road,560069,2025-04-01,69947
MG Road,560069,2025-04-02,69273
MG Road,560069,2025-04-03,67862
MG Road,560069,2025-04-04,69128
MG Road,560069,2025-04-05,72594
MG Road,560069,2025-04-06,66948
MG Road,560069,2025-04-07,72096
MG Road,560069,2025-04-08,68558
MG Road,560069,2025-04-09,72184
MG Road,560069,2025-04-10,71743
MG Road,560069,2025-04-11,70070
MG Road,560069,2025-04-12,67186
MG Road,560069,2025-04-13,67144
MG Road,560069,2025-04-14,66825
MG Road,560069,2025-04-15,72122
MG Road,560069,2025-04-16,67095
MG Road,560069,2025-04-17,70349
MG Road,560069,2025-04-18,72344
MG Road,560069,2025-04-19,71458
MG Road,560069,2025-04-20,70872
MG Road,560069,2025-04-21,68260
MG Road,560069,2025-04-22,72319
MG Road,560069,2025-04-23,70721
MG Road,560069,2025-04-24,70141
MG Road,560069,2025-04-25,67443
MG Road,560069,2025-04-26,67573
MG Road,560069,2025-04-27,71714
MG Road,560069,2025-04-28,67002
MG Road,560069,2025-04-29,69340
MG Road,560069,2025-04-30,70171
MG Road,560069,2025-05-01,70808
MG Road,560069,2025-05-02,72019
MG Road,560069,2025-05-03,68468
MG Road,560069,2025-05-04,66960
MG Road,560069,2025-05-05,71255
MG Road,560069,2025-05-06,72430
MG Road,560069,2025-05-07,67645
MG Road,560069,2025-05-08,68173
MG Road,560069,2025-05-09,69746
MG Road,560069,2025-05-10,67333
MG Road,560069,2025-05-11,70134
MG Road,560069,2025-05-12,71352
MG Road,560069,2025-05-13,69698
MG Road,560069,2025-05-14,69233
MG Road,560069,2025-05-15,67550
MG Road,560069,2025-05-16,69632
MG Road,560069,2025-05-17,69966
MG Road,560069,2025-05-18,71131
MG Road,560069,2025-05-19,69206
MG Road,560069,2025-05-20,70300
MG Road,560069,2025-05-21,67989
MG Road,560069,2025-05-22,71235
MG Road,560069,2025-05-23,66942
MG Road,560069,2025-05-24,72428
MG Road,560069,2025-05-25,69119
MG Road,560069,2025-05-26,68994
MG Road,560069,2025-05-27,67181
MG Road,560069,2025-05-28,70739
MG Road,560069,2025-05-29,71436
MG Road,560069,2025-05-30,71855
MG Road,560069,2025-05-31,67912
MG Road,560069,2025-06-01,70212
MG Road,560069,2025-06-02,69900
MG Road,560069,2025-06-03,67025
MG Road,560069,2025-06-04,69008
MG Road,560069,2025-06-05,69167
MG Road,560069,2025-06-06,72099
MG Road,560069,2025-06-07,70065
MG Road,560069,2025-06-08,70559
MG Road,560069,2025-06-09,70365
MG Road,560069,2025-06-10,67877
MG Road,560069,2025-06-11,72301
MG Road,560069,2025-06-12,72219
MG Road,560069,2025-06-13,72759
MG Road,560069,2025-06-14,66772
MG Road,560069,2025-06-15,70420
MG Road,560069,2025-06-16,66896
MG Road,560069,2025-06-17,68398
MG Road,560069,2025-06-18,71329
MG Road,560069,2025-06-19,68291
MG Road,560069,2025-06-20,71404
MG Road,560069,2025-06-21,68701
MG Road,560069,2025-06-22,67776
MG Road,560069,2025-06-23,66836
MG Road,560069,2025-06-24,70059
MG Road,560069,2025-06-25,69061
MG Road,560069,2025-06-26,71888
MG Road,560069,2025-06-27,72197
MG Road,560069,2025-06-28,70689
MG Road,560069,2025-06-29,71670
MG Road,560069,2025-06-30,72468
MG Road,560069,2025-07-01,71823
MG Road,560069,2025-07-02,72615
MG Road,560069,2025-07-03,69706
MG Road,560069,2025-07-04,70051
MG Road,560069,2025-07-05,66792
MG Road,560069,2025-07-06,69484
MG Road,560069,2025-07-07,68869
MG Road,560069,2025-07-08,71684
MG Road,560069,2025-07-09,67529
MG Road,560069,2025-07-10,71730
MG Road,560069,2025-07-11,70493
MG Road,560069,2025-07-12,67693
MG Road,560069,2025-07-13,71774
MG Road,560069,2025-07-14,69890
MG Road,560069,2025-07-15,68022
MG Road,560069,2025-07-16,71430
MG Road,560069,2025-07-17,68044
MG Road,560069,2025-07-18,71735
MG Road,560069,2025-07-19,68162
MG Road,560069,2025-07-20,69908
MG Road,560069,2025-07-21,68428
MG Road,560069,2025-07-22,67680
MG Road,560069,2025-07-23,71483
MG Road,560069,2025-07-24,71809
MG Road,560069,2025-07-25,71813
MG Road,560069,2025-07-26,70283
MG Road,560069,2025-07-27,69377
MG Road,560069,2025-07-28,69347
MG Road,560069,2025-07-29,67350
MG Road,560069,2025-07-30,71156
MG Road,560069,2025-07-31,72245
MG Road,560069,2025-08-01,70410
MG Road,560069,2025-08-02,68885
MG Road,560069,2025-08-03,70739
MG Road,560069,2025-08-04,71838
MG Road,560069,2025-08-05,69007
MG Road,560069,2025-08-06,72436
MG Road,560069,2025-08-07,70547
MG Road,560069,2025-08-08,68166
MG Road,560069,2025-08-09,69239
MG Road,560069,2025-08-10,71319
MG Road,560069,2025-08-11,69728
MG Road,560069,2025-08-12,71470
MG Road,560069,2025-08-13,69088
MG Road,560069,2025-08-14,67528
MG Road,560069,2025-08-15,71118
MG Road,560069,2025-08-16,71721
MG Road,560069,2025-08-17,68294
MG Road,560069,2025-08-18,68705
MG Road,560069,2025-08-19,67158
MG Road,560069,2025-08-20,67382
MG Road,560069,2025-08-21,71135
MG Road,560069,2025-08-22,71198
MG Road,560069,2025-08-23,72003
MG Road,560069,2025-08-24,71981
MG Road,560069,2025-08-25,67530
MG Road,560069,2025-08-26,67081
MG Road,560069,2025-08-27,69763
MG Road,560069,2025-08-28,70673
MG Road,560069,2025-08-29,68149
MG Road,560069,2025-08-30,70715
MG Road,560069,2025-08-31,71831
MG Road,560069,2025-09-01,67966
MG Road,560069,2025-09-02,67342
MG Road,560069,2025-09-03,68399
MG Road,560069,2025-09-04,68978
MG Road,560069,2025-09-05,68501
MG Road,560069,2025-09-06,67241
MG Road,560069,2025-09-07,66900
MG Road,560069,2025-09-08,71223
MG Road,560069,2025-09-09,72165
MG Road,560069,2025-09-10,68092
MG Road,560069,2025-09-11,71132
MG Road,560069,2025-09-12,71592
MG Road,560069,2025-09-13,72752
MG Road,560069,2025-09-14,70622
MG Road,560069,2025-09-15,67824
MG Road,560069,2025-09-16,72479
MG Road,560069,2025-09-17,72524
MG Road,560069,2025-09-18,70758
MG Road,560069,2025-09-19,69336
MG Road,560069,2025-09-20,71106
MG Road,560069,2025-09-21,71227
MG Road,560069,2025-09-22,71816
MG Road,560069,2025-09-23,70245
MG Road,560069,2025-09-24,71287
MG Road,560069,2025-09-25,70237
MG Road,560069,2025-09-26,67672
MG Road,560069,2025-09-27,67071
MG Road,560069,2025-09-28,70177
MG Road,560069,2025-09-29,71248
MG Road,560069,2025-09-30,67924
MG Road,560069,2025-10-01,72474
MG Road,560069,2025-10-02,68440
MG Road,560069,2025-10-03,71691
MG Road,560069,2025-10-04,67493
MG Road,560069,2025-10-05,69783
MG Road,560069,2025-10-06,66954
MG Road,560069,2025-10-07,71339
MG Road,560069,2025-10-08,70379
MG Road,560069,2025-10-09,72433
MG Road,560069,2025-10-10,71041
MG Road,560069,2025-10-11,72461
MG Road,560069,2025-10-12,70075
MG Road,560069,2025-10-13,72153
MG Road,560069,2025-10-14,68014
MG Road,560069,2025-10-15,68222
MG Road,560069,2025-10-16,68424
MG Road,560069,2025-10-17,71766
MG Road,560069,2025-10-18,67249
MG Road,560069,2025-10-19,68210
MG Road,560069,2025-10-20,70877
MG Road,560069,2025-10-21,67566
MG Road,560069,2025-10-22,66844
MG Road,560069,2025-10-23,71774
MG Road,560069,2025-10-24,69331
MG Road,560069,2025-10-25,66988
MG Road,560069,2025-10-26,70637
MG Road,560069,2025-10-27,66975
MG Road,560069,2025-10-28,70494
MG Road,560069,2025-10-29,70600
MG Road,560069,2025-10-30,67344
MG Road,560069,2025-10-31,68590
MG Road,560069,2025-11-01,69200
MG Road,560069,2025-11-02,67501
MG Road,560069,2025-11-03,71118
MG Road,560069,2025-11-04,70457
MG Road,560069,2025-11-05,69991
MG Road,560069,2025-11-06,68129
MG Road,560069,2025-11-07,71504
MG Road,560069,2025-11-08,68072
MG Road,560069,2025-11-09,71299
MG Road,560069,2025-11-10,69514
MG Road,560069,2025-11-11,70202
MG Road,560069,2025-11-12,70717
MG Road,560069,2025-11-13,69717
MG Road,560069,2025-11-14,68210
MG Road,560069,2025-11-15,71665
MG Road,560069,2025-11-16,72132
MG Road,560069,2025-11-17,69193
MG Road,560069,2025-11-18,71873
MG Road,560069,2025-11-19,67957
MG Road,560069,2025-11-20,67511
MG Road,560069,2025-11-21,68402
MG Road,560069,2025-11-22,67071
MG Road,560069,2025-11-23,71472
MG Road,560069,2025-11-24,71827
MG Road,560069,2025-11-25,71935
MG Road,560069,2025-11-26,72152
MG Road,560069,2025-11-27,70952
MG Road,560069,2025-11-28,70780
MG Road,560069,2025-11-29,72106
MG Road,560069,2025-11-30,70863
MG Road,560069,2025-12-01,69256
MG Road,560069,2025-12-02,70576
MG Road,560069,2025-12-03,69306
MG Road,560069,2025-12-04,68425
MG Road,560069,2025-12-05,68037
MG Road,560069,2025-12-06,71716
MG Road,560069,2025-12-07,68508
MG Road,560069,2025-12-08,71493
MG Road,560069,2025-12-09,69616
MG Road,560069,2025-12-10,70970
MG Road,560069,2025-12-11,68069
MG Road,560069,2025-12-12,68203
MG Road,560069,2025-12-13,68524
MG Road,560069,2025-12-14,69776
MG Road,560069,2025-12-15,71660
MG Road,560069,2025-12-16,69504
MG Road,560069,2025-12-17,71992
MG Road,560069,2025-12-18,69973
MG Road,560069,2025-12-19,71037
MG Road,560069,2025-12-20,68672
MG Road,560069,2025-12-21,71389
MG Road,560069,2025-12-22,67895
MG Road,560069,2025-12-23,70663
MG Road,560069,2025-12-24,67942
MG Road,560069,2025-12-25,67543
MG Road,560069,2025-12-26,66961
MG Road,560069,2025-12-27,68992
MG Road,560069,2025-12-28,69884
MG Road,560069,2025-12-29,70734
MG Road,560069,2025-12-30,71649
MG Road,560069,2025-12-31,68743
Whitefield,560023,2025-01-01,36839
Whitefield,560023,2025-01-02,37324
Whitefield,560023,2025-01-03,35675
Whitefield,560023,2025-01-04,35747
